date,Temperature,GHR,Pyranometer,Temperature probe,Sun azimuth,Clearness index,Month,Hour,Power
201811181245,440,158,10,3.6,-0.897975353660184,0.652862655584152,0.866025403784438,3.06161699786838e-16,7.390499
201811181300,313,179,10.2,4.2,-0.867596545507551,0.48554195393416,0.866025403784438,-1,5.829254
201811181315,704,182,10.3,2.7,-0.834912594961986,1.15141458578222,0.866025403784438,-1,11.43387
201811181330,358,127,10.8,3,-0.800466180006665,0.623214426109435,0.866025403784438,-1,6.084602
201811181345,287,107,10.7,3,-0.764740128911165,0.537597420336447,0.866025403784438,-1,5.741386
201811181400,736,80,11.4,6.4,-0.728149210438841,1.50252426252533,0.866025403784438,-4.28626379701574e-16,12.46162
201811181415,667,63,12.1,3.1,-0.691038139623433,1.50705046512968,0.866025403784438,-4.28626379701574e-16,11.47833
201811181430,606,60,12.1,3.9,-0.653684044307876,1.54477117813549,0.866025403784438,-4.28626379701574e-16,10.59185
201811181445,547,60,12.2,3.6,-0.61630175740524,1.61275184666828,0.866025403784438,-4.28626379701574e-16,9.710573
201811181500,488,58,12.4,4.4,-0.57905058998881,1.72160813983841,0.866025403784438,1,8.586013
201811181515,458,53,12.5,1.6,-0.542041582177187,2.03210719256241,0.866025403784438,1,7.901138
201811181530,408,43,12.5,3.2,-0.505344548551382,2.46976205355786,0.866025403784438,1,7.050343
201811181545,342,37,12.6,1.1,-0.468994497006259,3.31516270040042,0.866025403784438,1,5.873939
201811181600,281,32,12.2,2.1,-0.432997195160729,7.1067126343319,0.866025403784438,5.51091059616309e-16,4.698689
201811181615,211,27,11.9,2.6,-0.3973337917269,-8.308249053768,0.866025403784438,5.51091059616309e-16,3.339447
201811181630,143,19,11.7,2.4,-0.361964482882388,-1.56507656500844,0.866025403784438,5.51091059616309e-16,2.174994
201811181645,75,11,11.3,2.3,-0.32683125826867,-0.474394538332239,0.866025403784438,5.51091059616309e-16,1.047489
201811181700,18,0,10.6,0.9,-0.291859778633456,-0.0798964255701627,0.866025403784438,-1,0.239184
201811181715,0,0,9.6,1.1,-0.256960435929747,-0,0.866025403784438,-1,0
201811181730,0,0,8.900001,1.4,-0.222028633137195,-0,0.866025403784438,-1,0
201811181745,0,0,9.2,1.6,-0.18694429907153,-0,0.866025403784438,-1,0
201811181800,0,0,8.2,1.1,-0.151570625376341,-0,0.866025403784438,-2.44991257893129e-15,0
201811181815,0,0,7.9,1.3,-0.115751980257998,-0,0.866025403784438,-2.44991257893129e-15,0
201811190730,19,10,2.5,3.1,-0.607475674411666,0.0591729046167134,0.866025403784438,1,0.629682
201811190745,35,20,3.2,2.5,-0.644778492209964,0.0933781149616869,0.866025403784438,1,1.548718
201811190800,50,28,3.5,3.1,-0.682088459516946,0.117430056431517,0.866025403784438,6.12323399573677e-17,2.705955
201811190815,65,35,3.7,6.4,-0.719205930343698,0.137197292525623,0.866025403784438,6.12323399573677e-17,4.001402
201811190830,270,42,4.1,6.4,-0.755871218124418,0.52066318639361,0.866025403784438,6.12323399573677e-17,5.228091
201811190845,334,48,4.5,4.3,-0.79175900758594,0.596438264425273,0.866025403784438,6.12323399573677e-17,6.423431
201811190900,389,54,5.1,3.2,-0.826475215495715,0.650656853776648,0.866025403784438,-1,7.507522
201811190915,452,57,5.5,5.9,-0.859557838556709,0.715182308158733,0.866025403784438,-1,8.594441
201811190930,502,63,6,3.3,-0.89048349036704,0.757973152484167,0.866025403784438,-1,9.505914
201811190945,560,66,6.7,4.6,-0.918681213866826,0.813261518881819,0.866025403784438,-1,10.43932
201811191000,611,68,7.3,5.4,-0.943554608673025,0.859628078653628,0.866025403784438,-1.83697019872103e-16,11.16617
201811191015,642,75,7.5,2.3,-0.964512233679884,0.88094977552758,0.866025403784438,-1.83697019872103e-16,11.63778
201811191030,685,75,8.1,2.3,-0.981004672301953,0.922599183295219,0.866025403784438,-1.83697019872103e-16,11.98394
201811191045,722,75,8.5,2.3,-0.992564834513904,0.960310888120059,0.866025403784438,-1.83697019872103e-16,12.48431
201811191100,759,74,9.2,3.3,-0.99884649487279,1.00285987000325,0.866025403784438,1,13.05476
201811191115,824,72,9.6,3.7,-0.999655318185288,1.08788459936813,0.866025403784438,1,13.71504
201811191130,839,75,10.1,4.6,-0.99496716938227,1.11327768497002,0.866025403784438,1,13.97183
201811191145,872,71,10.6,5.8,-0.984930422373023,1.16977353048437,0.866025403784438,1,14.30015
201811191200,875,69,10.6,4.8,-0.969851844492597,1.19387559397291,0.866025403784438,3.06161699786838e-16,14.49598
201811191215,871,74,11.1,5.4,-0.950168620152962,1.21635236385251,0.866025403784438,3.06161699786838e-16,14.32659
201811191230,882,72,11.5,4.4,-0.926411317640195,1.26902799796206,0.866025403784438,3.06161699786838e-16,14.30465
201811191245,851,76,11.9,5.4,-0.899163537370463,1.27046873701605,0.866025403784438,3.06161699786838e-16,13.9929
201811191300,828,76,12.2,4.3,-0.869023552715552,1.29250314930611,0.866025403784438,-1,13.82727
201811191315,814,75,12.4,4.7,-0.836571848671384,1.33991146238295,0.866025403784438,-1,13.55148
201811191330,758,78,12.8,6.1,-0.80234666105145,1.32835738249028,0.866025403784438,-1,13.03703
201811191345,740,75,13.6,3.9,-0.766827945364956,1.39581697222691,0.866025403784438,-1,12.60681
201811191400,700,73,13.8,6.2,-0.730428978784513,1.43957749575578,0.866025403784438,-4.28626379701574e-16,11.95744
201811191415,651,71,13.9,5.7,-0.69349411165834,1.48253602643814,0.866025403784438,-4.28626379701574e-16,11.23372
201811191430,610,68,13.9,3.2,-0.656300965435613,1.56839268469066,0.866025403784438,-4.28626379701574e-16,10.39181
201811191445,546,64,13.7,2.7,-0.6190654760684,1.62533426696297,0.866025403784438,-4.28626379701574e-16,9.506953
201811191500,484,58,13.9,3.6,-0.581948456234742,1.72652203135887,0.866025403784438,1,8.413221
201811191515,426,53,14,4.5,-0.545062679694026,1.915678041238,0.866025403784438,1,7.50273
201811191530,373,49,13.7,4.5,-0.508479803224647,2.29809166696122,0.866025403784438,1,6.350574
201811191545,309,43,13.7,2,-0.472236699677175,3.07804264201651,0.866025403784438,1,5.29506
201811191600,255,36,13.9,1.8,-0.436340969312392,6.91427053178525,0.866025403784438,5.51091059616309e-16,4.246474
201811191615,196,29,13.3,5.5,-0.400775529826886,-7.0139508782286,0.866025403784438,5.51091059616309e-16,3.09732
201811191630,124,21,12.9,5.4,-0.365502268862764,-1.32185205571476,0.866025403784438,5.51091059616309e-16,1.867687
201811191645,65,12,12.5,4.1,-0.330464788427578,-0.405165406657562,0.866025403784438,5.51091059616309e-16,0.899637
201811191700,17,2,11.9,2,-0.295590289095584,-0.0747184354671102,0.866025403784438,-1,0.224751
201811191715,0,0,11.4,3.1,-0.260790641538769,-0,0.866025403784438,-1,0
201811191730,0,0,10.6,1.1,-0.225962680016986,-0,0.866025403784438,-1,0
201811191745,0,0,10.2,1.2,-0.190987730775836,-0,0.866025403784438,-1,0
201811191800,0,0,10.4,1.2,-0.155730360178747,-0,0.866025403784438,-2.44991257893129e-15,0
201811191815,0,0,10.2,1.7,-0.120036294245529,-0,0.866025403784438,-2.44991257893129e-15,0
201811200730,17,9,5.6,3.5,-0.609140434923749,0.0537412544068143,0.866025403784438,1,0.75092
201811200745,30,16,5.8,5.4,-0.646298550986891,0.0810764343058864,0.866025403784438,1,1.781724
201811200800,44,23,5.7,4,-0.683455555337191,0.104523685609929,0.866025403784438,6.12323399573677e-17,2.937402
201811200815,67,33,6,6.2,-0.720412285766356,0.142881376251954,0.866025403784438,6.12323399573677e-17,4.278458
201811200830,219,45,6.8,3.6,-0.756910261203325,0.426314278688722,0.866025403784438,6.12323399573677e-17,4.921419
201811200845,270,55,7.5,2.9,-0.79262627174888,0.48638075714029,0.866025403784438,6.12323399573677e-17,5.418433
201811200900,412,65,7.9,3,-0.827169400741722,0.694785850319793,0.866025403784438,-1,7.935719
201811200915,457,82,9.3,3.1,-0.860081981276481,0.728696957921789,0.866025403784438,-1,8.558013
201811200930,426,91,9.900001,1.5,-0.890846142645303,0.647958511860284,0.866025403784438,-1,7.788273
201811200945,588,93,10.1,4.1,-0.918897482350812,0.859942468860618,0.866025403784438,-1,9.93798
201811201000,636,92,10.9,3.4,-0.943646860584893,0.900868144535579,0.866025403784438,-1.83697019872103e-16,11.51221
201811201015,643,90,11.9,2.8,-0.964510261495878,0.888107625054258,0.866025403784438,-1.83697019872103e-16,11.30992
201811201030,725,93,12,2.9,-0.980945138220775,0.982695711379375,0.866025403784438,-1.83697019872103e-16,12.59977
201811201045,732,108,12.7,0.9,-0.992489902728279,0.979667489781105,0.866025403784438,-1.83697019872103e-16,10.59572
201811201100,705,141,12.7,1.5,-0.998801697965188,0.937190556644528,0.866025403784438,1,12.10766
201811201115,628,173,12.4,2.3,-0.999686864849688,0.834093848659025,0.866025403784438,1,10.49752
201811201130,589,177,12.3,1,-0.995119037506527,0.786189558403546,0.866025403784438,1,10.36491
201811201145,622,179,12.6,1.8,-0.985241646938903,0.839321038184773,0.866025403784438,1,10.8812
201811201200,547,182,12.4,2.4,-0.970354377422051,0.750730555323962,0.866025403784438,3.06161699786838e-16,9.857733
201811201215,543,179,12.4,1.7,-0.950886017711602,0.762767166406063,0.866025403784438,3.06161699786838e-16,9.87788
201811201230,505,161,12.1,1.7,-0.927358340527456,0.730908226267732,0.866025403784438,3.06161699786838e-16,9.511398
201811201245,621,149,11.7,2.7,-0.900346582336304,0.932667941105439,0.866025403784438,3.06161699786838e-16,10.85753
201811201300,636,122,11.6,3.8,-0.870441715768073,0.998867696791856,0.866025403784438,-1,11.28498
